number,class,clearance_level,description,image_url,,,,,,,
23,Euclid,2," SCP-023 is a large, sexless shaggy canine (1.5 meters at the shoulder) with black fur.  It has bright orange-red  eyes  and prominent teeth  (see  Incident Report 023-26 ). Any time an individual makes eye contact with SCP-023, either that person or a member of their immediate family will die exactly one (1) year after eye contact is broken. Research into the method of selection is incomplete due to a moratorium on experiments, but the available data suggests that having a larger immediate family lessens the chance of the individual making eye contact themselves dying, and neither a pattern nor a preference in victim types have been found. This may indicate that SCP-023's victim is designated entirely at random, but it is unknown whether this selection occurs at the beginning or at the end of the one-year time period. Attempts to terminate an individual who has made eye contact with SCP-023 and their entire immediate family before the one-year time period has ended [DATA EXPUNGED].",https://scp-wiki.wdfiles.com/local--files/scp-023/scp-023.png,,,,,,,
24,Euclid,2," SCP-024 is an abandoned sound stage that was once owned by ¦¦¦¦¦¦¦¦¦. However, SCP-024 itself had been abandoned since 19¦¦, and it is unknown whether its special properties manifested before or after its abandonment. SCP-024 is located in the heart of ¦¦¦¦¦¦¦¦¦, ¦¦¦¦¦¦¦¦¦¦, and was initially discovered when a group of teenage youths broke into the abandoned compound. The testimony of the lone ""winner"" when she turned herself in to the police was enough to have Foundation assets mobilize to contain SCP-024.",https://scp-wiki.wdfiles.com/local--files/scp-024/024.jpg,,,,,,,
25,Safe,1," SCP-025 is a wooden wardrobe measuring 0.97 m x 0.62 m x 1.95 m, full of clothing dating from a number of time periods. Articles contained within the chest, collectively named SCP-025-1, match with styles of decades from the 1920s to the present. The apparel from each time frame varies with regard to style; for example, a polyester striped shirt and pair of charcoal suit pants both correspond with general styles of the 1970s. The only unifying aspect of every article contained in SCP-025 is that each one is in poor condition; moths have eaten at much of the collection, and tears and runs are not uncommon.",https://scp-wiki.wdfiles.com/local--resized-images/scp-025/025.jpeg/medium.jpg,,,,,,,
26,Euclid,2, SCP-026 is a three (3) story public school building built in ¦¦¦¦. It has two (2) wings connected to a central foyer. It was declared condemned in ¦¦¦¦ after it was found the floor plan didn't match up to the building's blueprints (see  Interview Log 026-01 ). It came to the Foundation's attention after several disappearances in the area were linked to visits to the abandoned building.,https://scp-wiki.wdfiles.com/local--files/scp-026/SCP-026-A-new.jpg,,,,,,,
27,Euclid,2," SCP-027 appears to be a phenomenon of unknown source that seems to be tied to one human subject (currently 027-02) at a time. As host to SCP-027, subject 027-02 is constantly surrounded by swarming vermin that are drawn to his location. The subject does not appear able to assert control over these creatures in any way, and is in fact prone to occasional attacks from feral specimens. These creatures have also been known to attack personnel who approach too closely.",,,,,,,,
28,Safe,1," SCP-028 is located in an abandoned storage yard outside a copper mine in northern Michigan. SCP-028 has no detectable physical presence of any kind, but its effect occurs in a 2.1 meter (7 foot) cube around what is commonly held as the “center” of SCP-028. All forms of scanning and testing in the area of SCP-028 have shown no abnormal readings. Adding or removing objects, or attempting to remove dirt from under SCP-028 has no effect in altering the size or shape of SCP-028’s area of effect, nor the onset or quality of the Effect.",https://scp-wiki.wdfiles.com/local--files/scp-028/scp-028.png,,,,,,,
29,Keter,3," SCP-029 appears to be a pubescent female of Asiatic-Indian descent. She appears to suffer from alopecia universalis. Over 80% of her pigmentation is a true black, while the rest of her skin has a complete lack of melanin, to the point of albinism. Her eyes are also a dark black in color.",,,,,,,,
30,Safe,1," SCP-030 appears as a hairless, genderless, grey-toned human 71 centimeters (28 inches) in height and weighing 12.70 kilograms (two British stone in antiquated measure). Its solid blue eyes lack discernible irises or pupils, and resemble small cut sapphires. SCP-030 possesses an androgynous voice with a pronounced English accent not currently identifiable as specific to any modern region. It is able to converse, read and write in Ancient Greek, Latin, Italian, English, Spanish and Portuguese as well as two (2) additional languages that have not yet been identified despite SCP-030's insistence that they should be ""common knowledge."" SCP-030 has also demonstrated knowledge of physics, chemistry, astronomy, mathematics and horticulture roughly equivalent to that of a 17th-century CE academic. In addition, SCP-030 has demonstrated knowledge on these topics along research lines that do not appear in the historical record. These alternative or entirely unknown approaches to research in the natural sciences are one source of SCP-030's utility in consultation.",,,,,,,,
31,Euclid,2," SCP-031 is an amorphous organism with a mass of over 7,500 kg that has infiltrated the ductwork and maintenance infrastructure of the building. Tendrils emerging from SCP-031's central mass have spread through the hotel's plumbing and ductwork to all 105 floors of the building. At its peak, over 75% of the hotel's 3,000 rooms were contaminated by SCP-031. Reclamation efforts have destroyed ¦¦% of the initial infestation, but over ¦¦¦ rooms remain affected by SCP-031.",https://scp-wiki.wdfiles.com/local--files/scp-031/scp-031rev.jpg,,,,,,,
32,Euclid,2," SCP-032 is a Type-F (imperfect external resemblance, internally inconsistent) human simulacrum of currently unknown origins. It is composed of an outer shell of pigmented silicone (5.5 mm thick), and various plastic fiber polymers, with the outward appearance of a Caucasian woman nearing the third decade of life. SCP-032's interior is composed entirely of liquid refined oil, lacking any skeletal or muscle structure. Despite this, SCP-032 is capable of locomotion and speech. SCP-032 is capable of maintaining the illusion of humanity at a moderate distance, but becomes unconvincing at a closer range, causing mild discomfort in most observers. This effect has been deemed non-anomalous. Despite apparently possessing fully-realized cognitive abilities, SCP-032 claims that it is not sapient, acting only as an intermediary instrument of its creators. The Foundation has not been able to verify or refute this claim as of yet.",,,,,,,,
33,Euclid,2," SCP-033 appears as a field of complex mathematical symbols ranging from simple layman-identifiable representations to those only interpretable by highly-trained mathematicians. The ""sum"" of the symbols is equal to a previously unknown integer (designated Theta Prime by Prof. Hutchinson) of intermediate value between ¦ and ¦.",,,,,,,,
34,Safe,1," SCP-034 is a primitive knife constructed out of pure obsidian. Tests reveal that SCP-034 is approximately 1000 years old. Despite its crude method of construction and age, SCP-034 is still incredibly sharp and requires no maintenance to retain its edge. Expert analysis hypothesizes that SCP-034 may be of South American origin, and that it may have been used in Native American rituals. Several accounts from Spanish conquistadors exploring the ¦¦¦¦¦¦¦¦¦ region support this hypothesis, with detailed writings on how ¦¦¦¦¦ priests would flay their victims alive with similar knives and wear their skin as a tribute to their gods.",https://scp-wiki.wdfiles.com/local--files/scp-034/blade.jpg,,,,,,,
35,Keter,3," SCP-035 appears to be a white porcelain comedy mask, although, at times, it will change to tragedy. In these events, all existing visual records, such as photographs, video footage, even illustrations, of SCP-035 automatically change to reflect its new appearance.",https://scp-wiki.wdfiles.com/local--files/scp-035/scp--035--002-new.gif,,,,,,,
36,Safe,1," SCP-036 includes the location, Site-22A (a small airport in the Mosul region of northern Iraq) and Site-22B (the destination of passengers boarding at Site-22A). The key components of SCP-036 are:",https://scp-wiki.wdfiles.com/local--files/scp-036/SCP-036-1.jpg,,,,,,,
37,Euclid,2," SCP-037 appears to be a star approximately 5 cm (2 in) in diameter, with a luminosity of about 1*10 -12  times that of our sun and a surface temperature of about 5000 K (determined by UBVRI analysis). The origin of SCP-037 is unknown, however, analysis suggests that it shares many properties in common with a typical main sequence star, other than its anomalously small size. It is theorized to have entered the Earth's magnetosphere via the North Magnetic Pole.",,,,,,,,
38,Safe,1," SCP-038 was found on an abandoned farm in ¦¦¦¦¦¦¦¦¦¦¦¦¦, New York, in 19¦¦. It was at first thought to be a common apple tree. However, upon closer inspection, it became apparent that SCP-038 was growing things other than apples and, in fact, other than fruit.",,,,,,,,
,,6, SCP-039 consists of twenty-three proboscis monkeys ( Nasalis larvatus ) which have been subject to radical anatomical changes. These alterations are summarized below:,https://scp-wiki.wdfiles.com/local--files/scp-039/monkey-new.jpg,,,,,,,
40,Anomalous Human,5, SCP-040 is a human child capable of at-will manipulation of the physical characteristics of living organisms. Modified organisms are collectively referred to as SCP-040-1.,,,,,,,,
41,Safe,1," SCP-041 is a male human suffering from irreversible damage to his central nervous system, which is believed to have been caused by an infection of a rare strain of bacterial meningitis. Although antibiotics were successful in clearing the infection, the membranes surrounding his brain and spinal cord had reacted to the infection by severing many neurons connecting the central nervous system to the rest of the body. SCP-041 must rely on a respirator to sustain his breathing, a biventricular pacemaker to keep his heart beating, and a naso-gastric tube to provide nutrition.",,,,,,,,
42,Safe,1," SCP-042 is an animal believed to be a member of the genus  Equus . Its coat is white in color with some small brown spotting. It stands at 183 cm (18 hands) to its withers and weighs 710 kg. Its weight has dropped significantly since it has been in Foundation custody, due to both atrophy from lack of physical activity and refusal to eat. The liquid nutrient diet forcibly administered keeps it alive but it remains emaciated and weak. SCP-042 exhibits two large bone protrusions from its back, linked to powerful musculature (now atrophied) throughout its back. These bones end at 37 centimeters from the surface of its back, and they protrude from the skin at open, ragged wounds. To date, no healing has been observed of these wounds, though some clotting must be taking place for SCP-042 to have not bled out.",http://scp-wiki.wdfiles.com/local--files/scp-042/SCP-042-new.jpg,,,,,,,
43,Safe,1," SCP-043 appears to be a vinyl copy of ""The White Album"" by the Beatles; however, upon closer inspection, the record has no grooves. In spite of this, the record will play from start to finish regardless of the starting position of the needle.",http://scp-wiki.wdfiles.com/local--files/scp-043/whitealbum-new.jpg,,,,,,,
44,Safe,1," SCP-044 is a howitzer, secretly manufactured in the late stages of the Second World War by Krupp engineers, personally supervised by Albert Speer, German Minister of Armaments and War Production under Adolf Hitler. SCP-044 is unique not only because of its size (251,000 kg, or 251 metric tonnes), but also because it fires unconventional artillery using an atypical delivery method. Rather than having a breech for loading shells, the rear of the barrel is configured into a massive air-compression chamber. Any object or pile of objects that fits may be loaded into SCP-044’s muzzle to be used as ammunition. Because of its size, SCP-044 must remain rail-mounted and requires two freight locomotives to move.",http://scp-wiki.wdfiles.com/local--files/scp-044/SCP-44.jpg,,,,,,,
45,Safe,1," SCP-045 is an icosahedron composed of ice XII 1  heavily occluded with planar fractures in a regular, complex pattern. SCP-045 has an average radius of 1.7 meters and density of 2.6 g/cm³, which is approximately twice that of non-anomalous ice XII.",,,,,,,,
46,Euclid,2," SCP-046 is a predatory botanical mass located in southwestern Kentucky. SCP-046 is composed of two parts. SCP-046-1 is a large mass of vegetative matter, composed largely of plants indigenous to the region, including  Quercus alba, Ilex aquifolium,  and  Lonicera sempervirens,  though several offshoots composed of other plant species are also present. SCP-046-2 is the land in the immediate vicinity of SCP-046-1, extending to a roughly circular area twenty meters in radius from its base. This area is SCP-046's primary feeding area. SCP-046 is capable of attracting prey within a 50km radius through hallucinogenic means; all evacuations of personnel should carry them outside of this radius to disable SCP-046's effect.",https://scp-wiki.wdfiles.com/local--files/scp-046/46-1.jpg,,,,,,,
47,Keter,3," SCP-047 is a heavily rusted, breached gas cylinder made of an iron-[REDACTED] alloy. When exposed to open air, the material of the cylinder evaporates slowly, producing a previously undocumented mutagenic gas. This gas has no effect on eukaryotic organisms (e.g. humans), but profoundly alters prokaryotes, showing preference for common human microbiota - the natural microorganisms that live on the skin and throughout the body. On rare occasions these mutations produce a ""superbug"" (collectively known as SCP-047-1), a natural commensal with enhanced survivability and therefore opportunistic pathogenicity. The pattern of changes induced by SCP-047 suggests that these highly infectious microbes are, at least to some degree, selected for.",https://scp-wiki.wdfiles.com/local--files/scp-047/047.png,,,,,,,
48,None (see description),5," SCP-048 has long been considered the ""cursed SCP number"" by SCP staff: any items given this designation tend to be destroyed, decommissioned, stolen, or otherwise lost to the Foundation, usually through no fault of any individual person. In addition, personnel assigned to SCP-048 in its various incarnations have had a 50% higher rate of turnover due to death, dismemberment, and disciplinary action.",,,,,,,,
49,Euclid,2," SCP-049 is a humanoid entity, roughly 1.9 meters in height, which bears the appearance of a medieval plague doctor. While SCP-049 appears to be wearing the thick robes and the ceramic mask indicative of that profession, the garments instead seem to have grown out of SCP-049's body over time 1 , and are now nearly indistinguishable from whatever form is beneath them. X-rays indicate that despite this, SCP-049 does have a humanoid skeletal structure beneath its outer layer.",https://scp-wiki.wdfiles.com/local--files/scp-049/SCP-049-Image-2.png,,,,,,,
50,Euclid,2," SCP-050 appears to be a statue of a monkey reading a book, approximately 1 foot 3  tall. On the bottom of the statue are engraved the words ""To The Cleverest"" in cursive script.",,,,,,,,
51,Safe,1," SCP-051 is a 25 cm (10 in) anatomically correct model of a human female, carved out of ivory, with typically Asian features. Microscopic analysis shows that the head hair is human hair. The doll is jointed at the shoulders, hips, and knees. The 'stomach' area of the doll is fully removable as a 'cap' of ivory, exposing a detailed ribcage and organs, and a 2.5 cm (1 in) ivory fetus connected to the main figure by a leather cord umbilicus.",,,,,,,,
52,Euclid,2," SCP-052 is a type R4 New York City subway train. Official records indicate this train was built in 1932 and decommissioned for scrap in 1975. Nevertheless, it continues to appear on the Uptown A/D track at the 59th St. and 8th Avenue station at 11:57 p.m. every Saturday. The train is in perfect condition and labeled as an “A” train. SCP-052 appears at the designated time, opens its doors to accept/discharge passengers for approximately five minutes, then closes its doors and disappears. It does not appear to ever contain passengers, except for those leaving the train during its appearance.",https://scp-wiki.wdfiles.com/local--files/scp-052/scp-052.png,,,,,,,
53,Euclid,2," SCP-053 appears to be a small 3-year-old girl. She is capable of basic speech and appears to be slightly above average in mental development. She has a generally pleasant personality and rarely seems upset, becoming agitated only in the presence of groups of people.",https://scp-wiki.wdfiles.com/local--files/scp-053/SCP-0053.jpg,,,,,,,
54,Safe,1," Out of the water, the subject most often appears as a female humanoid with a mean volume of 90 L comprised entirely of water (other forms are possible, commonly geometric shapes). When it enters a body of water, it becomes indistinguishable from its surroundings. The subject must periodically return to a body of water in order to maintain its volume due to evaporation. Initially found in ¦¦¦¦¦¦¦¦, it was moved to Site-08 for further study. Subject was initially curious about Foundation personnel and seemed to enjoy interacting with maintenance staff and researchers, and mimicking their forms. After a number of weeks, the creature apparently felt comfortable enough to remain out of the water during routine monitoring, though it retreated when attempts were made to study its composition.",,,,,,,,
55,Keter,3," SCP-055 is a ""self-keeping secret"" or ""anti-meme"". Information about SCP-055's physical appearance as well as its nature, behavior, and origins is self-classifying. To clarify:",,,,,,,,
56,Euclid,2," SCP-056 is a being of variable size, gender, and appearance, which changes in response to the environment around it, especially in regards to living and sentient beings. Its most common form is of a handsome man in his middle twenties, dressed in a garb of similar appearance to that of the personnel guarding it but of a higher quality and aesthetic value. However, it has been recorded as taking these forms:",,,,,,,,
57,Safe,1," SCP-057 is a subterranean chamber with an approximate cylindrical height of three (3) meters and diameter of eighteen (18) meters. Artifact is comprised of impenetrable slate-coloured stone. Inside the chamber are dozens of parallelepiped monoliths extending from floor to ceiling that slide in various directions while SCP-057 is active. It was discovered several meters below ¦¦¦¦¦ on ¦¦/¦¦/¦¦¦¦ during the construction of a secure containment enclosure for SCP-¦¦¦. Consequently, SCP-¦¦¦ was assigned an alternate location at Site-¦¦.",,,,,,,,
58,Keter,3," SCP-058 resembles a bovine heart, with four (4) arthropod-like legs used primarily for movement, and four (4) tentacles of adjustable length, covered with razor sharp spines. It has a single sharp 'stinger' on its rear, where the hole for the superior vena cava would be in a typical organ. SCP-058's tentacles can be ""whipped"" to a distance of 3.2 m (10.5 ft) at speeds in excess of 320 km/h (200 mph). SCP-058 is extremely hostile and will use every opportunity afforded to it to inflict damage on its surroundings. SCP-058 has been shown to be highly resilient to trauma, and should be approached with caution even when apparently incapacitated.",,,,,,,,
59,Keter,3," SCP-059 is a radioactive mineral of unknown origin, superficially resembling scheelite. A component of SCP-059 is believed to originate in an alternate universe, and to be responsible for its anomalous properties. In addition to alpha, beta, and gamma radiation, SCP-059 specimens produce a previously unknown type of radiation, apparently unique to the object, tentatively designated 'delta radiation'. Delta radiation is accompanied by Cherenkov radiation, visible as a blue glow.",https://scp-wiki.wdfiles.com/local--files/scp-059/bluerock1.png,,,,,,,
60,Keter,3, SCP-060 is a grove of seventeen white oak trees ( Quercus alba ). The grove is spread across approximately 8 acres in rural northeastern Minnesota. A house on the property was demolished during the construction of Satellite-Site 66-060 after being combed by Foundation personnel for information regarding SCP-060. See addendum.,https://scp-wiki.wdfiles.com/local--files/scp-060/not-firewood-small.jpg,,,,,,,
61,Safe,1," SCP-061 is an acoustic computer program being developed by SCP researchers with the intent of producing successful countermeasures to similar programs being developed by  governments  and  individuals  around the world. Inspired by research on [DATA EXPUNGED], SCP Command saw both the potential and harm in the ability to control the brain functions of other human beings. Laymen understand that music can elicit certain emotions and memories or various sounds can elicit fear and excitement by simply being heard. Governments around the world have been attempting to expand on that premise for decades; SCP Research is the first to elicit responses on higher mental activities.",,,,,,,,
62,Euclid,2," SCP-062 appears to be an unbranded personal desktop computer housed in an aluminum case of indeterminate manufacture. SCP-062 is unusually heavy at approximately 24kg, and lacks manufacturing or branding labels of any kind. The words ""infomation is freedom [sic]"" were found scratched into the casing near the back, apparently with a key or similar object.",,,,,,,,
63,Safe,1," SCP-063 appears to be an average, pale blue toothbrush. Stenciled along the side of the object are the words “The World's Best TothBrush [sic]”. The word ""toothbrush"" is spelled incorrectly, though whether this was accidental or a purposeful action by the creators of the object is unknown. SCP-063 displays the ability to effortlessly cleave through any and all dead or inorganic matter, the focal point of this ability being the bristles. However, matter touched by the bristles is not separated, such as by way of a knife, but completely expunged from existence, leaving no trace whatsoever. This mode of operation is reminiscent of  SCP-2207 , suggesting the two anomalies share a connection or were created by the same entity or entities. Additionally, subjects who have used SCP-063 have claimed that the experience left their teeth feeling remarkably clean. In spite of its extraordinary abilities, lab analysis has discerned that SCP-063 is completely made of common plastic.",,,,,,,,
64,Safe,1," SCP-064 is a light brown earthenware brick composed primarily of silicon oxides and some organic matter. The object weighs 1.6 kg and measures some 10 cm x 6 cm x 20 cm. Its surface is smooth and flat, with some minor cosmetic chips. By and large, the object is visually similar to most solid bricks used in construction.",https://scp-wiki.wdfiles.com/local--files/scp-064/SCP-064.png,,,,,,,
65,Euclid,2," SCP-065 is a spherical region of space approximately 12 m in radius located on a farm near [REDACTED]. SCP-065 was formed by the destruction of an anomalous artifact on-site by the Global Occult Coalition on ¦¦/¦/¦¦; immediately following this initial event, the radius of SCP-065 was estimated to have initially expanded to 108 m in radius, resulting in the deaths of eleven (11) GOC operatives and five (5) civilians. Since containment by the Foundation, the effective radius of SCP-065 has shrunk to and remained stable at its current size.",https://scp-wiki.wdfiles.com/local--files/scp-065/065.png,,,,,,,
